feature_idx,cv_scores,avg_score,feature_names
"(16, 18, 22, 23, 25, 27, 28, 41, 43, 46, 47, 48, 49, 51, 56, 59, 60, 62, 63, 64, 65, 67, 84, 86)",[0.28246445 0.2667087  0.26712543],0.2720995287339813,"('glyburide-metformin', 'preceding_year_visits', 'race_Hispanic', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'discharge_disposition_id_Transferred to another medical facility', 'diag_1_Mental Disorders', 'diag_1_Neoplasms', 'diag_1_Pregnancy, Childbirth', 'diag_1_Respiratory', 'diag_1_Sense Organs', 'diag_1_Skin and Subcutaneous Tissue', 'diag_2_Congenital Anomalies', 'diag_2_Genitourinary', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Nervous', 'diag_2_Not Required', 'diag_2_Other Symptoms', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 18, 22, 23, 25, 27, 28, 41, 43, 46, 47, 48, 49, 51, 53, 56, 59, 60, 62, 63, 64, 65, 67, 81, 84, 86)",[0.28241175 0.26980592 0.26357076],0.2719294734797149,"('glyburide-metformin', 'preceding_year_visits', 'race_Hispanic', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'discharge_disposition_id_Transferred to another medical facility', 'diag_1_Mental Disorders', 'diag_1_Neoplasms', 'diag_1_Pregnancy, Childbirth', 'diag_1_Respiratory', 'diag_1_Sense Organs', 'diag_1_Skin and Subcutaneous Tissue', 'diag_2_Congenital Anomalies', 'diag_2_Digestive', 'diag_2_Genitourinary', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Nervous', 'diag_2_Not Required', 'diag_2_Other Symptoms', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Nervous', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 18, 22, 23, 25, 27, 28, 43, 46, 47, 49, 51, 56, 59, 60, 62, 63, 64, 65, 67, 84, 86)",[0.28076802 0.26803483 0.2667085 ],0.2718371164366906,"('glyburide-metformin', 'preceding_year_visits', 'race_Hispanic', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'discharge_disposition_id_Transferred to another medical facility', 'diag_1_Neoplasms', 'diag_1_Pregnancy, Childbirth', 'diag_1_Respiratory', 'diag_1_Skin and Subcutaneous Tissue', 'diag_2_Congenital Anomalies', 'diag_2_Genitourinary', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Nervous', 'diag_2_Not Required', 'diag_2_Other Symptoms', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 18, 22, 23, 25, 27, 28, 43, 46, 47, 49, 51, 56, 59, 60, 62, 64, 65, 67, 84, 86)",[0.281309   0.26762321 0.26612398],0.27168539610854486,"('glyburide-metformin', 'preceding_year_visits', 'race_Hispanic', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'discharge_disposition_id_Transferred to another medical facility', 'diag_1_Neoplasms', 'diag_1_Pregnancy, Childbirth', 'diag_1_Respiratory', 'diag_1_Skin and Subcutaneous Tissue', 'diag_2_Congenital Anomalies', 'diag_2_Genitourinary', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Nervous', 'diag_2_Other Symptoms', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 18, 22, 23, 25, 27, 28, 43, 46, 47, 48, 49, 51, 56, 59, 60, 62, 63, 64, 65, 67, 84, 86)",[0.28026275 0.26824704 0.26633323],0.27161433742159086,"('glyburide-metformin', 'preceding_year_visits', 'race_Hispanic', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'discharge_disposition_id_Transferred to another medical facility', 'diag_1_Neoplasms', 'diag_1_Pregnancy, Childbirth', 'diag_1_Respiratory', 'diag_1_Sense Organs', 'diag_1_Skin and Subcutaneous Tissue', 'diag_2_Congenital Anomalies', 'diag_2_Genitourinary', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Nervous', 'diag_2_Not Required', 'diag_2_Other Symptoms', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 18, 22, 25, 27, 28, 43, 46, 47, 49, 51, 56, 59, 60, 62, 64, 65, 67, 84)",[0.28070175 0.2663769  0.2677116 ],0.27159675157180185,"('glyburide-metformin', 'preceding_year_visits', 'race_Hispanic', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'discharge_disposition_id_Transferred to another medical facility', 'diag_1_Neoplasms', 'diag_1_Pregnancy, Childbirth', 'diag_1_Respiratory', 'diag_1_Skin and Subcutaneous Tissue', 'diag_2_Congenital Anomalies', 'diag_2_Genitourinary', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Nervous', 'diag_2_Other Symptoms', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth')"
"(16, 18, 22, 23, 25, 27, 28, 41, 43, 46, 47, 48, 49, 51, 53, 56, 59, 60, 62, 63, 64, 65, 67, 84, 86)",[0.28100715 0.26756066 0.26620297],0.2715902618309097,"('glyburide-metformin', 'preceding_year_visits', 'race_Hispanic', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'discharge_disposition_id_Transferred to another medical facility', 'diag_1_Mental Disorders', 'diag_1_Neoplasms', 'diag_1_Pregnancy, Childbirth', 'diag_1_Respiratory', 'diag_1_Sense Organs', 'diag_1_Skin and Subcutaneous Tissue', 'diag_2_Congenital Anomalies', 'diag_2_Digestive', 'diag_2_Genitourinary', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Nervous', 'diag_2_Not Required', 'diag_2_Other Symptoms', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 18, 22, 25, 27, 28, 43, 46, 47, 49, 51, 56, 59, 60, 62, 64, 65, 67, 84, 86)",[0.27972466 0.26712329 0.26699938],0.2712824398868965,"('glyburide-metformin', 'preceding_year_visits', 'race_Hispanic', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'discharge_disposition_id_Transferred to another medical facility', 'diag_1_Neoplasms', 'diag_1_Pregnancy, Childbirth', 'diag_1_Respiratory', 'diag_1_Skin and Subcutaneous Tissue', 'diag_2_Congenital Anomalies', 'diag_2_Genitourinary', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Nervous', 'diag_2_Other Symptoms', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 18, 22, 25, 27, 28, 43, 46, 47, 49, 56, 59, 60, 62, 64, 65, 67, 84)",[0.28025078 0.26645963 0.26712329],0.271277899566495,"('glyburide-metformin', 'preceding_year_visits', 'race_Hispanic', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'discharge_disposition_id_Transferred to another medical facility', 'diag_1_Neoplasms', 'diag_1_Pregnancy, Childbirth', 'diag_1_Respiratory', 'diag_1_Skin and Subcutaneous Tissue', 'diag_2_Genitourinary', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Nervous', 'diag_2_Other Symptoms', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth')"
"(16, 18, 22, 25, 27, 28, 43, 46, 47, 49, 59, 60, 62, 64, 67, 84)",[0.2820197  0.26634087 0.26487641],0.2710789944085945,"('glyburide-metformin', 'preceding_year_visits', 'race_Hispanic', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'discharge_disposition_id_Transferred to another medical facility', 'diag_1_Neoplasms', 'diag_1_Pregnancy, Childbirth', 'diag_1_Respiratory', 'diag_1_Skin and Subcutaneous Tissue', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Nervous', 'diag_2_Other Symptoms', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth')"
