feature_idx,cv_scores,avg_score,feature_names
"(84,)",[1.         1.         0.99873096],0.9995769881556683,"('diag_3_Pregnancy, Childbirth',)"
"(51, 67, 84)",[1.         1.         0.99873096],0.9995769881556683,"('diag_2_Congenital Anomalies', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth')"
"(51, 84)",[1.         1.         0.99873096],0.9995769881556683,"('diag_2_Congenital Anomalies', 'diag_3_Pregnancy, Childbirth')"
"(51, 65, 67, 84)",[0.99746515 1.         0.99873096],0.9987320367403747,"('diag_2_Congenital Anomalies', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth')"
"(46, 51, 65, 67, 84)",[0.99746515 0.99873257 0.99619289],0.9974635373440646,"('diag_1_Pregnancy, Childbirth', 'diag_2_Congenital Anomalies', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth')"
"(25, 46, 51, 65, 67, 84)",[0.99746515 0.99873257 0.99619289],0.9974635373440646,"('discharge_disposition_id_Left AMA', 'diag_1_Pregnancy, Childbirth', 'diag_2_Congenital Anomalies', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth')"
"(25, 46, 48, 51, 65, 67, 84)",[0.99619772 0.99619772 0.99492386],0.9957730983767926,"('discharge_disposition_id_Left AMA', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth')"
"(25, 46, 48, 51, 63, 65, 67, 84)",[0.99493029 0.99493029 0.99238579],0.9940821232728357,"('discharge_disposition_id_Left AMA', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth')"
"(25, 46, 48, 51, 63, 65, 67, 84, 86)",[0.99112801 0.99493029 0.98984772],0.9919686724612319,"('discharge_disposition_id_Left AMA', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(20, 25, 46, 48, 51, 63, 65, 67, 84, 86)",[0.98732573 0.99239544 0.98096447],0.9868952110126764,"('race_Asian', 'discharge_disposition_id_Left AMA', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(20, 25, 27, 46, 48, 51, 63, 65, 67, 84, 86)",[0.98732573 0.99239544 0.98096447],0.9868952110126764,"('race_Asian', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 20, 25, 27, 46, 48, 51, 63, 65, 67, 84, 86)",[0.98225602 0.98352345 0.97715736],0.9809789426955665,"('glyburide-metformin', 'race_Asian', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 20, 25, 27, 33, 46, 48, 51, 63, 65, 67, 76, 84, 86)",[0.97972117 0.98098859 0.97081218],0.9771739806433212,"('glyburide-metformin', 'race_Asian', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Congenital Anomalies', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Infectious and Parasitic', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 20, 25, 27, 33, 46, 48, 51, 63, 65, 67, 84, 86)",[0.97845374 0.97718631 0.97081218],0.9754840778127339,"('glyburide-metformin', 'race_Asian', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Congenital Anomalies', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 20, 25, 27, 33, 46, 48, 51, 60, 63, 65, 67, 76, 84, 86)",[0.97972117 0.95944233 0.97081218],0.9699918936133254,"('glyburide-metformin', 'race_Asian', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Congenital Anomalies', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Infectious and Parasitic', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 20, 23, 25, 27, 33, 46, 48, 51, 60, 63, 65, 67, 76, 84, 86)",[0.9721166  0.97084918 0.95812183],0.9670292022929493,"('glyburide-metformin', 'race_Asian', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Congenital Anomalies', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Infectious and Parasitic', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 20, 23, 25, 27, 33, 44, 46, 48, 51, 60, 63, 65, 67, 76, 84, 86)",[0.9721166  0.96451204 0.95812183],0.9649168237547152,"('glyburide-metformin', 'race_Asian', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Congenital Anomalies', 'diag_1_Nervous', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Infectious and Parasitic', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(9, 16, 20, 23, 25, 27, 33, 44, 46, 48, 51, 60, 63, 65, 67, 76, 82, 84, 86)",[0.96704689 0.95944233 0.95304569],0.9598449707162143,"('nateglinide', 'glyburide-metformin', 'race_Asian', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Congenital Anomalies', 'diag_1_Nervous', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Infectious and Parasitic', 'diag_3_Not Required', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(16, 20, 23, 25, 27, 33, 44, 46, 48, 51, 60, 63, 65, 67, 76, 82, 84, 86)",[0.96704689 0.9531052  0.95304569],0.9577325921779803,"('glyburide-metformin', 'race_Asian', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Congenital Anomalies', 'diag_1_Nervous', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Infectious and Parasitic', 'diag_3_Not Required', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(9, 16, 20, 23, 25, 27, 33, 41, 44, 46, 48, 51, 60, 63, 65, 67, 76, 82, 84, 86)",[0.94423321 0.95944233 0.95177665],0.9518173961342401,"('nateglinide', 'glyburide-metformin', 'race_Asian', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Congenital Anomalies', 'diag_1_Mental Disorders', 'diag_1_Nervous', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Infectious and Parasitic', 'diag_3_Not Required', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(9, 16, 20, 23, 25, 27, 33, 41, 44, 46, 48, 51, 58, 60, 63, 65, 67, 76, 82, 84, 86)",[0.91888466 0.95944233 0.95177665],0.9433678819813038,"('nateglinide', 'glyburide-metformin', 'race_Asian', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Congenital Anomalies', 'diag_1_Mental Disorders', 'diag_1_Nervous', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Injury and Poisoning', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Infectious and Parasitic', 'diag_3_Not Required', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
"(9, 16, 20, 23, 25, 27, 33, 41, 44, 46, 48, 51, 58, 59, 60, 63, 65, 67, 76, 82, 84, 86)",[0.91761724 0.9391635  0.93401015],0.9302636291306651,"('nateglinide', 'glyburide-metformin', 'race_Asian', 'race_Other', 'discharge_disposition_id_Left AMA', 'discharge_disposition_id_Still patient/referred to this institution', 'diag_1_Congenital Anomalies', 'diag_1_Mental Disorders', 'diag_1_Nervous', 'diag_1_Pregnancy, Childbirth', 'diag_1_Sense Organs', 'diag_2_Congenital Anomalies', 'diag_2_Injury and Poisoning', 'diag_2_Mental Disorders', 'diag_2_Musculoskeletal System and Connective Tissue', 'diag_2_Not Required', 'diag_2_Pregnancy, Childbirth', 'diag_2_Sense Organs', 'diag_3_Infectious and Parasitic', 'diag_3_Not Required', 'diag_3_Pregnancy, Childbirth', 'diag_3_Sense Organs')"
