feature_idx,cv_scores,avg_score,feature_names
"(0, 6, 14, 17, 18, 19, 26, 32, 34, 40, 44, 47, 49, 51, 52, 56, 72, 80, 82, 88, 91)",[0.01022495 0.00409417 0.00511771],0.0064789406520384665,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'discharge_disposition_id_Not_Available', 'diag_1_Circulatory', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Nervous', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_2_Diabetes', 'diag_2_Genitourinary', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'max_glu_serum__300', 'A1Cresult__8')"
"(0, 6, 14, 17, 18, 19, 26, 32, 34, 40, 44, 47, 49, 51, 52, 56, 63, 72, 80, 82, 88, 91)",[0.01022495 0.00409417 0.00511771],0.0064789406520384665,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'discharge_disposition_id_Not_Available', 'diag_1_Circulatory', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Nervous', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_2_Diabetes', 'diag_2_Genitourinary', 'diag_2_Not_Required', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'max_glu_serum__300', 'A1Cresult__8')"
"(0, 6, 14, 17, 18, 19, 26, 32, 34, 40, 44, 47, 49, 51, 52, 56, 63, 72, 80, 82, 88, 91, 95)",[0.01022495 0.00409417 0.00511771],0.0064789406520384665,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'discharge_disposition_id_Not_Available', 'diag_1_Circulatory', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Nervous', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_2_Diabetes', 'diag_2_Genitourinary', 'diag_2_Not_Required', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'max_glu_serum__300', 'A1Cresult__8', 'insulin_treatment_no_med')"
"(0, 6, 14, 17, 18, 19, 26, 32, 34, 40, 44, 47, 49, 51, 72, 80, 82, 88, 91)",[0.00920245 0.00409417 0.00511771],0.006138109022863279,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'discharge_disposition_id_Not_Available', 'diag_1_Circulatory', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Nervous', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'max_glu_serum__300', 'A1Cresult__8')"
"(0, 6, 14, 17, 18, 19, 26, 32, 34, 40, 47, 49, 51, 72, 80, 82, 88, 91)",[0.00920245 0.00409417 0.00511771],0.006138109022863279,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'discharge_disposition_id_Not_Available', 'diag_1_Circulatory', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'max_glu_serum__300', 'A1Cresult__8')"
"(0, 6, 14, 17, 18, 19, 26, 32, 34, 40, 44, 47, 49, 51, 52, 72, 80, 82, 88, 91)",[0.00920245 0.00409417 0.00511771],0.006138109022863279,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'discharge_disposition_id_Not_Available', 'diag_1_Circulatory', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Nervous', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_2_Diabetes', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'max_glu_serum__300', 'A1Cresult__8')"
"(0, 6, 14, 17, 18, 19, 26, 32, 34, 40, 44, 47, 49, 51, 52, 56, 57, 62, 63, 72, 80, 82, 88, 91, 95)",[0.01022495 0.00307062 0.00511771],0.0061377601675621785,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'discharge_disposition_id_Not_Available', 'diag_1_Circulatory', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Nervous', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_2_Diabetes', 'diag_2_Genitourinary', 'diag_2_Infectious_and_Parasitic', 'diag_2_Nervous', 'diag_2_Not_Required', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'max_glu_serum__300', 'A1Cresult__8', 'insulin_treatment_no_med')"
"(0, 6, 14, 17, 18, 19, 26, 32, 34, 40, 44, 47, 49, 51, 52, 56, 62, 63, 72, 80, 82, 88, 91, 95)",[0.01022495 0.00307062 0.00511771],0.0061377601675621785,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'discharge_disposition_id_Not_Available', 'diag_1_Circulatory', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Nervous', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_2_Diabetes', 'diag_2_Genitourinary', 'diag_2_Nervous', 'diag_2_Not_Required', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'max_glu_serum__300', 'A1Cresult__8', 'insulin_treatment_no_med')"
"(0, 6, 14, 17, 18, 19, 34, 40, 47, 49, 51, 72, 80, 82, 91)",[0.00817996 0.00409417 0.00511771],0.005797277393688092,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'A1Cresult__8')"
"(0, 6, 14, 17, 18, 19, 32, 34, 40, 47, 49, 51, 72, 80, 82, 91)",[0.00817996 0.00409417 0.00511771],0.005797277393688092,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'diag_1_Circulatory', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'A1Cresult__8')"
"(0, 6, 14, 17, 18, 19, 26, 32, 34, 40, 47, 49, 51, 72, 80, 82, 91)",[0.00817996 0.00409417 0.00511771],0.005797277393688092,"('gender', 'number_diagnoses', 'rosiglitazone', 'diabetesMed', 'preceding_year_visits', 'number_changes', 'discharge_disposition_id_Not_Available', 'diag_1_Circulatory', 'diag_1_Diabetes', 'diag_1_Injury_and_Poisoning', 'diag_1_Respiratory', 'diag_1_Skin_and_Subcutaneous_Tissue', 'diag_2_Congenital_Anomalies', 'diag_3_Digestive', 'diag_3_Neoplasms', 'diag_3_Not_Required', 'A1Cresult__8')"
